time,lon,lat,z,hsurf,z_type,origin,#trajectories,block_length
2021-10-11 03:00:00,8.228,47.552,485.0,385.0,agl,Beznau,120,121
2021-10-11 03:15:00,8.216,47.56,494.0,421.0,agl,Beznau,120,121
2021-10-11 03:30:00,8.199,47.568,506.0,458.0,agl,Beznau,120,121
2021-10-11 03:45:00,8.175,47.573,518.0,488.0,agl,Beznau,120,121
2021-10-11 04:00:00,8.15,47.574,508.0,465.0,agl,Beznau,120,121
2021-10-11 04:15:00,8.128,47.572,513.0,424.0,agl,Beznau,120,121
2021-10-11 04:30:00,8.102,47.569,540.0,374.0,agl,Beznau,120,121
2021-10-11 04:45:00,8.068,47.571,563.0,365.0,agl,Beznau,120,121
2021-10-11 05:00:00,8.028,47.571,548.0,422.0,agl,Beznau,120,121
2021-10-11 05:15:00,7.979,47.561,453.0,365.0,agl,Beznau,120,121
2021-10-11 05:30:00,7.909,47.562,356.0,303.0,agl,Beznau,120,121
2021-10-11 05:45:00,7.835,47.58,340.0,294.0,agl,Beznau,120,121
2021-10-11 06:00:00,7.783,47.597,428.0,403.0,agl,Beznau,120,121
2021-10-11 06:15:00,7.738,47.621,445.0,429.0,agl,Beznau,120,121
2021-10-11 06:30:00,7.695,47.634,367.0,342.0,agl,Beznau,120,121
2021-10-11 06:45:00,7.642,47.638,345.0,333.0,agl,Beznau,120,121
2021-10-11 07:00:00,7.594,47.645,292.0,278.0,agl,Beznau,120,121
2021-10-11 07:15:00,7.558,47.653,277.0,259.0,agl,Beznau,120,121
2021-10-11 07:30:00,7.527,47.666,274.0,256.0,agl,Beznau,120,121
2021-10-11 07:45:00,7.507,47.683,254.0,234.0,agl,Beznau,120,121
2021-10-11 08:00:00,7.496,47.701,254.0,234.0,agl,Beznau,120,121
2021-10-11 08:15:00,7.488,47.715,264.0,243.0,agl,Beznau,120,121
2021-10-11 08:30:00,7.481,47.724,270.0,249.0,agl,Beznau,120,121
2021-10-11 08:45:00,7.476,47.729,273.0,250.0,agl,Beznau,120,121
2021-10-11 09:00:00,7.471,47.732,276.0,249.0,agl,Beznau,120,121
2021-10-11 09:15:00,7.467,47.731,278.0,249.0,agl,Beznau,120,121
2021-10-11 09:30:00,7.462,47.727,283.0,250.0,agl,Beznau,120,121
2021-10-11 09:45:00,7.458,47.72,290.0,253.0,agl,Beznau,120,121
2021-10-11 10:00:00,7.454,47.711,303.0,257.0,agl,Beznau,120,121
2021-10-11 10:15:00,7.451,47.7,319.0,261.0,agl,Beznau,120,121
2021-10-11 10:30:00,7.448,47.69,335.0,260.0,agl,Beznau,120,121
2021-10-11 10:45:00,7.448,47.678,355.0,258.0,agl,Beznau,120,121
