lon,lat,z,z_type,origin
8.22843,47.551922,100.0,agl,Beznau
8.22843,47.56192,100.0,agl,Beznau~1
8.243246,47.551922,100.0,agl,Beznau~2
8.22843,47.541924,100.0,agl,Beznau~3
8.213614,47.551922,100.0,agl,Beznau~4
8.22843,47.551922,1500.0,msl,Beznau
8.22843,47.56192,1500.0,msl,Beznau~1
8.243246,47.551922,1500.0,msl,Beznau~2
8.22843,47.541924,1500.0,msl,Beznau~3
8.213614,47.551922,1500.0,msl,Beznau~4
8.22843,47.551922,3000.0,msl,Beznau
8.22843,47.56192,3000.0,msl,Beznau~1
8.243246,47.551922,3000.0,msl,Beznau~2
8.22843,47.541924,3000.0,msl,Beznau~3
8.213614,47.551922,3000.0,msl,Beznau~4
8.22843,47.551922,5000.0,msl,Beznau
8.22843,47.56192,5000.0,msl,Beznau~1
8.243246,47.551922,5000.0,msl,Beznau~2
8.22843,47.541924,5000.0,msl,Beznau~3
8.213614,47.551922,5000.0,msl,Beznau~4
5.27,45.797218,100.0,agl,Bugey
5.27,45.807217,100.0,agl,Bugey~1
5.284343,45.797218,100.0,agl,Bugey~2
5.27,45.78722,100.0,agl,Bugey~3
5.255657,45.797218,100.0,agl,Bugey~4
5.27,45.797218,1500.0,msl,Bugey
5.27,45.807217,1500.0,msl,Bugey~1
5.284343,45.797218,1500.0,msl,Bugey~2
5.27,45.78722,1500.0,msl,Bugey~3
5.255657,45.797218,1500.0,msl,Bugey~4
5.27,45.797218,3000.0,msl,Bugey
5.27,45.807217,3000.0,msl,Bugey~1
5.284343,45.797218,3000.0,msl,Bugey~2
5.27,45.78722,3000.0,msl,Bugey~3
5.255657,45.797218,3000.0,msl,Bugey~4
5.27,45.797218,5000.0,msl,Bugey
5.27,45.807217,5000.0,msl,Bugey~1
5.284343,45.797218,5000.0,msl,Bugey~2
5.27,45.78722,5000.0,msl,Bugey~3
5.255657,45.797218,5000.0,msl,Bugey~4
7.5625,47.90361,100.0,agl,Fessenheim
7.5625,47.913609,100.0,agl,Fessenheim~1
7.577417,47.90361,100.0,agl,Fessenheim~2
7.5625,47.893612,100.0,agl,Fessenheim~3
7.547583,47.90361,100.0,agl,Fessenheim~4
7.5625,47.90361,1500.0,msl,Fessenheim
7.5625,47.913609,1500.0,msl,Fessenheim~1
7.577417,47.90361,1500.0,msl,Fessenheim~2
7.5625,47.893612,1500.0,msl,Fessenheim~3
7.547583,47.90361,1500.0,msl,Fessenheim~4
7.5625,47.90361,3000.0,msl,Fessenheim
7.5625,47.913609,3000.0,msl,Fessenheim~1
7.577417,47.90361,3000.0,msl,Fessenheim~2
7.5625,47.893612,3000.0,msl,Fessenheim~3
7.547583,47.90361,3000.0,msl,Fessenheim~4
7.5625,47.90361,5000.0,msl,Fessenheim
7.5625,47.913609,5000.0,msl,Fessenheim~1
7.577417,47.90361,5000.0,msl,Fessenheim~2
7.5625,47.893612,5000.0,msl,Fessenheim~3
7.547583,47.90361,5000.0,msl,Fessenheim~4
7.96682,47.365871,100.0,agl,Goesgen
7.96682,47.37587,100.0,agl,Goesgen~1
7.981584,47.365871,100.0,agl,Goesgen~2
7.96682,47.355873,100.0,agl,Goesgen~3
7.952055,47.365871,100.0,agl,Goesgen~4
7.96682,47.365871,1500.0,msl,Goesgen
7.96682,47.37587,1500.0,msl,Goesgen~1
7.981584,47.365871,1500.0,msl,Goesgen~2
7.96682,47.355873,1500.0,msl,Goesgen~3
7.952055,47.365871,1500.0,msl,Goesgen~4
7.96682,47.365871,3000.0,msl,Goesgen
