time,lon,lat,z,hsurf
0.00,6.12,46.24,533.0,433.0
0.25,6.096,46.23,604.0,428.0
0.50,6.07,46.216,611.0,408.0
0.75,6.043,46.202,592.0,397.0
1.00,6.015,46.184,673.0,389.0
1.25,5.98,46.159,731.0,372.0
1.50,5.948,46.127,751.0,393.0
1.75,5.91,46.08,791.0,692.0
2.00,5.863,46.031,773.0,442.0
2.25,5.841,46.002,590.0,354.0
2.50,5.836,45.975,526.0,295.0
2.75,5.833,45.923,810.0,277.0
3.00,5.831,45.863,587.0,208.0
3.25,5.812,45.782,658.0,422.0
3.50,5.768,45.707,665.0,263.0
3.75,5.71,45.638,782.0,724.0
4.00,5.679,45.589,700.0,384.0
4.25,5.669,45.559,718.0,260.0
4.50,5.668,45.542,680.0,290.0
4.75,5.666,45.533,602.0,282.0
5.00,5.669,45.521,603.0,278.0
5.25,5.674,45.505,653.0,366.0
5.50,5.669,45.485,715.0,498.0
5.75,5.654,45.462,751.0,454.0
6.00,5.63,45.436,813.0,606.0
6.25,5.594,45.395,641.0,540.0
6.50,5.558,45.35,594.0,322.0
6.75,5.534,45.316,601.0,201.0
7.00,5.495,45.28,564.0,196.0
7.25,5.457,45.24,685.0,334.0
7.50,5.411,45.197,668.0,219.0
7.75,5.356,45.152,583.0,226.0
8.00,5.301,45.103,731.0,219.0
8.25,5.25,45.053,690.0,303.0
8.50,5.181,45.009,500.0,368.0
8.75,5.153,44.943,663.0,575.0
9.00,5.116,44.875,818.0,697.0
9.25,5.112,44.802,692.0,635.0
9.50,5.107,44.761,459.0,404.0
9.75,5.117,44.731,563.0,290.0
10.00,5.115,44.671,889.0,510.0
10.25,5.113,44.582,801.0,594.0
10.50,5.11,44.494,893.0,550.0
10.75,5.077,44.428,671.0,608.0
11.00,5.063,44.405,699.0,399.0
11.25,5.057,44.379,773.0,416.0
11.50,5.05,44.318,428.0,256.0
11.75,5.022,44.264,453.0,235.0
12.00,5.007,44.212,485.0,171.0
12.25,4.972,44.156,510.0,108.0
12.50,4.933,44.094,487.0,47.0
12.75,4.906,44.034,540.0,34.0
13.00,4.879,43.972,565.0,29.0
13.25,4.869,43.912,549.0,30.0
13.50,4.857,43.836,555.0,63.0
13.75,4.837,43.76,696.0,224.0
14.00,4.804,43.668,425.0,29.0
14.25,4.775,43.583,512.0,15.0
14.50,4.753,43.503,569.0,10.0
14.75,4.734,43.415,594.0,9.0
15.00,4.727,43.323,587.0,0.0
15.25,4.729,43.232,520.0,0.0
15.50,4.739,43.142,500.0,0.0
15.75,4.743,43.049,456.0,0.0
16.00,4.744,42.949,436.0,0.0
16.25,4.756,42.847,402.0,0.0
16.50,4.774,42.745,386.0,0.0
16.75,4.797,42.648,435.0,0.0
17.00,4.829,42.55,426.0,0.0
17.25,4.865,42.453,447.0,0.0
17.50,4.865,42.453,-999.0,-999.0
17.75,4.865,42.453,-999.0,-999.0
18.00,4.865,42.453,-999.0,-999.0
18.25,4.865,42.453,-999.0,-999.0
18.50,4.865,42.453,-999.0,-999.0
18.75,4.865,42.453,-999.0,-999.0
19.00,4.865,42.453,-999.0,-999.0
19.25,4.865,42.453,-999.0,-999.0
19.50,4.865,42.453,-999.0,-999.0
19.75,4.865,42.453,-999.0,-999.0
20.00,4.865,42.453,-999.0,-999.0
20.25,4.865,42.453,-999.0,-999.0
20.50,4.865,42.453,-999.0,-999.0
20.75,4.865,42.453,-999.0,-999.0
21.00,4.865,42.453,-999.0,-999.0
21.25,4.865,42.453,-999.0,-999.0
21.50,4.865,42.453,-999.0,-999.0
21.75,4.865,42.453,-999.0,-999.0
22.00,4.865,42.453,-999.0,-999.0
22.25,4.865,42.453,-999.0,-999.0
22.50,4.865,42.453,-999.0,-999.0
22.75,4.865,42.453,-999.0,-999.0
23.00,4.865,42.453,-999.0,-999.0
23.25,4.865,42.453,-999.0,-999.0
23.50,4.865,42.453,-999.0,-999.0
23.75,4.865,42.453,-999.0,-999.0
24.00,4.865,42.453,-999.0,-999.0
24.25,4.865,42.453,-999.0,-999.0
24.50,4.865,42.453,-999.0,-999.0
24.75,4.865,42.453,-999.0,-999.0
25.00,4.865,42.453,-999.0,-999.0
25.25,4.865,42.453,-999.0,-999.0
25.50,4.865,42.453,-999.0,-999.0
25.75,4.865,42.453,-999.0,-999.0
26.00,4.865,42.453,-999.0,-999.0
26.25,4.865,42.453,-999.0,-999.0
26.50,4.865,42.453,-999.0,-999.0
26.75,4.865,42.453,-999.0,-999.0
27.00,4.865,42.453,-999.0,-999.0
27.25,4.865,42.453,-999.0,-999.0
27.50,4.865,42.453,-999.0,-999.0
27.75,4.865,42.453,-999.0,-999.0
28.00,4.865,42.453,-999.0,-999.0
28.25,4.865,42.453,-999.0,-999.0
28.50,4.865,42.453,-999.0,-999.0
28.75,4.865,42.453,-999.0,-999.0
29.00,4.865,42.453,-999.0,-999.0
29.25,4.865,42.453,-999.0,-999.0
29.50,4.865,42.453,-999.0,-999.0
29.75,4.865,42.453,-999.0,-999.0
30.00,4.865,42.453,-999.0,-999.0
30.25,4.865,42.453,-999.0,-999.0
30.50,4.865,42.453,-999.0,-999.0
30.75,4.865,42.453,-999.0,-999.0
31.00,4.865,42.453,-999.0,-999.0
31.25,4.865,42.453,-999.0,-999.0
31.50,4.865,42.453,-999.0,-999.0
31.75,4.865,42.453,-999.0,-999.0
32.00,4.865,42.453,-999.0,-999.0
32.25,4.865,42.453,-999.0,-999.0
32.50,4.865,42.453,-999.0,-999.0
32.75,4.865,42.453,-999.0,-999.0
33.00,4.865,42.453,-999.0,-999.0
Geneve,,,,
agl,,,,
0.00,6.12,46.24,733.0,433.0
0.25,6.057,46.187,756.0,405.0
0.50,5.993,46.135,770.0,417.0
0.75,5.923,46.076,891.0,781.0
1.00,5.868,46.016,876.0,358.0
1.25,5.837,45.97,671.0,299.0
1.50,5.813,45.901,812.0,234.0
1.75,5.799,45.81,604.0,323.0
2.00,5.765,45.731,638.0,309.0
2.25,5.705,45.662,794.0,388.0
2.50,5.641,45.598,766.0,257.0
2.75,5.583,45.531,748.0,418.0
3.00,5.534,45.483,725.0,605.0
3.25,5.479,45.435,734.0,614.0
3.50,5.427,45.386,653.0,453.0
3.75,5.376,45.342,741.0,423.0
4.00,5.328,45.298,779.0,612.0
4.25,5.281,45.25,716.0,626.0
4.50,5.241,45.187,549.0,449.0
4.75,5.194,45.127,471.0,325.0
5.00,5.148,45.076,475.0,199.0
5.25,5.098,45.03,596.0,181.0
5.50,5.055,44.969,549.0,206.0
5.75,5.019,44.881,540.0,201.0
6.00,4.996,44.763,507.0,233.0
6.25,4.999,44.624,536.0,342.0
6.50,4.988,44.492,708.0,623.0
6.75,4.961,44.376,300.0,194.0
7.00,4.923,44.279,217.0,129.0
7.25,4.929,44.16,181.0,83.0
7.50,4.947,44.038,120.0,28.0
7.75,4.961,43.942,164.0,50.0
8.00,4.976,43.853,198.0,54.0
8.25,4.994,43.794,257.0,92.0
8.50,5.045,43.753,240.0,180.0
8.75,5.085,43.7,209.0,141.0
